procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  53156 700600 1308240 58138628    0    0     3    15    0    0  1  0 99  0  0
 0  0  53156 690544 1308240 58138864    0    0     0  1982 6955 10277  5  1 94  0  0
 0  0  53156 686432 1308240 58139108    0    0     0   823 6633 9992  4  1 94  1  0
 0  0  53156 691808 1308240 58139092    0    0     0  1684 7287 11450  4  1 94  0  0
 4  0  53156 683788 1308240 58138884    0    0     0   728 6564 9906  3  1 96  0  0
 0  0  53412 725224 1307760 58111812    0    5     0  1697 9017 14168  5  1 93  0  0
 1  0  53412 717432 1307760 58111552    0    0    13   832 6865 10114  5  1 94  0  0
 0  0  53412 714848 1307760 58111816    0    0     0  1852 6856 10305  5  1 94  0  0
 2  0  53412 716496 1307760 58111652    0    0     0   711 7637 11901  5  1 94  0  0
 1  0  53412 713320 1307760 58111920    0    0     0  1629 6737 10257  5  1 94  0  0
 5  0  53412 710976 1307760 58111500    0    0     0   781 7863 11727  5  1 93  0  0
 2  1  53412 714048 1307760 58111664    0    0     0  1620 6766 10011  5  1 93  0  0
 1  0  53412 718816 1307760 58111956    0    0     0  3784 7521 11068  5  1 93  1  0
 3  0  53412 715724 1307760 58111796    0    0     0  3058 7831 12082  5  1 93  1  0
 0  0  53412 697576 1307760 58112320    0    0     0   879 7200 10619  5  1 94  1  0
 2  0  53412 702276 1307760 58112200    0    0     0   935 7400 11596  5  1 94  1  0
 1  0  53412 717844 1307760 58112056    0    0     0  3214 7283 10837  5  1 93  1  0
 1  0  53412 725016 1307760 58112732    0    0     0   953 8321 12969  6  1 92  1  0
 1  0  53412 719140 1307760 58112220    0    0     0  1772 7950 12135  5  1 93  1  0
 2  1  53412 714328 1307760 58112228    0    0     0  2323 6518 9789  5  1 94  0  0
 0  0  53412 720784 1307760 58112364    0    0     0  1113 8007 12176  5  1 93  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1  53412 717328 1307760 58112300    0    0     0  1498 6610 10110  4  1 95  1  0
 3  0  53412 720648 1307760 58112832    0    0     0  3376 7798 11830  4  1 94  1  0
 2  1  53412 717904 1307760 58112212    0    0     0   825 6514 9659  3  1 95  0  0
 2  0  53412 704604 1307760 58112752    0    0     0  1099 7208 10653  5  1 93  1  0
 4  1  53412 713792 1307760 58112768    0    0     0   735 7671 11869  5  1 94  1  0
 0  0  53412 697488 1307760 58112728    0    0     0  2489 7079 10753  4  1 95  1  0
 1  0  53412 709140 1307760 58112692    0    0     0   923 7558 11693  5  1 94  1  0
 4  0  53412 708448 1307760 58113232    0    0     0   806 7184 10375  5  1 94  0  0
 0  0  53412 723292 1307760 58112800    0    0     0  2309 8450 12661  6  1 93  1  0
 0  1  53412 713296 1307760 58112772    0    0     0   756 7911 11984  5  1 94  0  0
 0  1  53412 710872 1307760 58113000    0    0     0  1677 6715 9985  4  1 95  0  0
 1  0  53412 705012 1307760 58113052    0    0     0   789 7664 11553  4  1 94  0  0
 0  0  53412 694992 1307760 58112848    0    0     0  1789 7046 10509  5  1 94  1  0
 0  0  53412 685572 1307760 58113348    0    0     0   713 6896 9926  4  1 95  0  0
 1  0  53412 693268 1307760 58113200    0    0     0  1798 8163 12422  5  1 94  1  0
 0  0  53412 702776 1307760 58113316    0    0     0   777 6739 9818  4  1 95  0  0
 0  1  53412 697668 1307760 58113500    0    0     0  1755 7680 11885  4  1 95  0  0
 0  0  53412 703932 1307760 58113548    0    0     0   778 6967 10111  4  1 95  0  0
 2  0  53412 693088 1307760 58112996    0    0     0  1883 6671 10122  4  1 95  0  0
 2  0  53412 695528 1307760 58113104    0    0     0   663 7397 11182  4  1 95  0  0
 0  0  53412 713668 1307760 58113820    0    0     0  1773 8368 12415  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  53412 745436 1307760 58095140    0    0     0   699 7228 11252  3  1 96  0  0
 1  0  53412 713340 1307760 58113640    0    0     0  1793 6646 9993  5  1 94  0  0
 2  0  53412 705912 1307760 58114164    0    0     0   708 6549 9619  5  1 94  0  0
 4  0  53412 708872 1307760 58114016    0    0     0  1691 7571 11576  5  1 94  1  0
 1  0  53412 698128 1307760 58114120    0    0     0  3437 7020 10407  4  1 94  1  0
 0  1  53412 711380 1307760 58113784    0    0     0  2708 7253 11022  3  1 95  1  0
 0  0  53412 706916 1307760 58113952    0    0     0  1064 6807 10021  4  1 94  1  0
 2  0  53412 700744 1307760 58114288    0    0     0  2624 6834 10248  5  1 94  1  0
 0  0  53412 706224 1307760 58114400    0    0     0  1023 7553 11622  4  1 94  1  0
 1  0  53412 700500 1307760 58114640    0    0     0  1917 6585 9916  5  1 94  1  0
 2  0  53412 706816 1307760 58114628    0    0     0  1833 8266 12212  5  1 94  1  0
 1  0  53412 739364 1307760 58114996    0    0     0   668 8667 13843  7  1 92  0  0
 1  0  53412 734088 1307760 58114540    0    0     0  2191 6056 9537  5  1 94  0  0
 0  0  53412 748328 1307760 58114708    0    0     0   884 6790 10893  5  1 94  0  0
 0  0  53412 740580 1307760 58114716    0    0     0   766 6238 9748  5  1 94  0  0
 1  0  53412 742064 1307760 58114700    0    0     0  2134 7003 11263  5  1 94  0  0
 1  0  53412 743312 1307760 58115196    0    0     0   686 5720 8953  5  1 94  0  0
 1  0  53412 740576 1307760 58114856    0    0     0   620 6221 9706  5  1 94  0  0
 0  0  53412 724548 1307760 58114988    0    0     0  2011 7303 11645  5  1 94  0  0
 1  0  53412 710796 1307760 58114984    0    0     0   727 6701 10348  5  1 94  0  0
 0  0  53412 758252 1307760 58114584    0    0     0   749 7489 11403  5  1 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  53412 718660 1307760 58114960    0    0     0  2176 6357 9856  5  1 94  0  0
 0  0  53412 730872 1307760 58114784    0    0     0   744 6247 9835  4  1 96  0  0
 1  0  53412 743996 1307760 58115556    0    0     0   557 8150 13298  5  1 93  0  0
 0  0  53412 732040 1307760 58115152    0    0     0  1539 5800 9013  4  1 95  0  0
